==================================================
РЕЗУЛЬТАТЫ ВЫЧИСЛИТЕЛЬНОГО ЭКСПЕРИМЕНТА
==================================================

1. СРАВНЕНИЕ МОДЕЛЕЙ ПО NDCG@3
--------------------------------------------------
             Модель  NDCG@3
      Decision Tree  0.3268
            XGBoost  0.3227
      Random Forest  0.3212
  Gradient Boosting  0.3187
Logistic Regression  0.3157
            XGBoost  0.3154
      Random Forest  0.3154
      Decision Tree  0.3153
  Gradient Boosting  0.3114
Logistic Regression  0.3099
      Random Forest  0.3097
      Decision Tree  0.3095
            XGBoost  0.3082
  Gradient Boosting  0.3042
Logistic Regression  0.3027
            XGBoost  0.3024
      Random Forest  0.3024
  Gradient Boosting  0.2984
      Decision Tree  0.2980
Logistic Regression  0.2969
            XGBoost  0.2967
  Gradient Boosting  0.2912
Logistic Regression  0.2912
      Random Forest  0.2909
      Decision Tree  0.2865
Logistic Regression  0.2854
  Gradient Boosting  0.2854
            XGBoost  0.2852
  Gradient Boosting  0.2797
      Random Forest  0.2794
      Decision Tree  0.2750
Logistic Regression  0.2739
      Random Forest  0.2737
            XGBoost  0.2737
  Gradient Boosting  0.2724
            XGBoost  0.2679
      Random Forest  0.2664
      Decision Tree  0.2635
Logistic Regression  0.2624
  Gradient Boosting  0.2609
            XGBoost  0.2607
      Decision Tree  0.2570
Logistic Regression  0.2567
      Random Forest  0.2549
  Gradient Boosting  0.2537
      Decision Tree  0.2513
Logistic Regression  0.2510
            XGBoost  0.2492
  Gradient Boosting  0.2479
      Random Forest  0.2477
            XGBoost  0.2434
  Gradient Boosting  0.2407
      Decision Tree  0.2398
Logistic Regression  0.2395
            XGBoost  0.2377
      Random Forest  0.2362
      Decision Tree  0.2341
  Gradient Boosting  0.2334
Logistic Regression  0.2322
            XGBoost  0.2304
      Random Forest  0.2289
  Gradient Boosting  0.2277
      Decision Tree  0.2268
Logistic Regression  0.2265
            XGBoost  0.2232
      Random Forest  0.2232
  Gradient Boosting  0.2219
Logistic Regression  0.2192
            XGBoost  0.2159
      Random Forest  0.2159
      Decision Tree  0.2153
  Gradient Boosting  0.2147
Logistic Regression  0.2120
      Random Forest  0.2102
            XGBoost  0.2087
  Gradient Boosting  0.2074
      Decision Tree  0.2059
  Gradient Boosting  0.2017
Logistic Regression  0.2005
      Decision Tree  0.1987
      Random Forest  0.1987
            XGBoost  0.1972
  Gradient Boosting  0.1944
      Decision Tree  0.1929
            XGBoost  0.1914
Logistic Regression  0.1890
      Decision Tree  0.1872
      Random Forest  0.1872
            XGBoost  0.1842
  Gradient Boosting  0.1829
      Random Forest  0.1799
Logistic Regression  0.1775
  Gradient Boosting  0.1772
      Decision Tree  0.1757
            XGBoost  0.1727
Logistic Regression  0.1702
  Gradient Boosting  0.1699
      Decision Tree  0.1684
      Random Forest  0.1684
            XGBoost  0.1654
  Gradient Boosting  0.1642
      Random Forest  0.1627
            XGBoost  0.1597
Logistic Regression  0.1587
  Gradient Boosting  0.1585
      Decision Tree  0.1569
      Decision Tree  0.1512
      Random Forest  0.1512
            XGBoost  0.1482
Logistic Regression  0.1472
  Gradient Boosting  0.1470
      Decision Tree  0.1440
            XGBoost  0.1424
Logistic Regression  0.1415
      Random Forest  0.1397
  Gradient Boosting  0.1355
      Decision Tree  0.1346
      Random Forest  0.1340
            XGBoost  0.1310
Logistic Regression  0.1300
  Gradient Boosting  0.1297
      Decision Tree  0.1273
      Random Forest  0.1225
            XGBoost  0.1195
Logistic Regression  0.1185
  Gradient Boosting  0.1182
      Decision Tree  0.1158
            XGBoost  0.1137
Logistic Regression  0.1112
  Gradient Boosting  0.1110
      Random Forest  0.1110
      Decision Tree  0.1086
  Gradient Boosting  0.1052
      Random Forest  0.1037
            XGBoost  0.1022
      Decision Tree  0.1021
Logistic Regression  0.0998
      Decision Tree  0.0963
            XGBoost  0.0950
Logistic Regression  0.0940
  Gradient Boosting  0.0937
      Random Forest  0.0922
Logistic Regression  0.0883
  Gradient Boosting  0.0880
      Random Forest  0.0850
      Decision Tree  0.0848
            XGBoost  0.0835
Logistic Regression  0.0810
  Gradient Boosting  0.0807
      Decision Tree  0.0783
            XGBoost  0.0777
      Random Forest  0.0777
Logistic Regression  0.0738
  Gradient Boosting  0.0735
      Decision Tree  0.0726
      Random Forest  0.0720
Logistic Regression  0.0680
            XGBoost  0.0662
  Gradient Boosting  0.0662
      Random Forest  0.0647
Logistic Regression  0.0623
      Decision Tree  0.0611
            XGBoost  0.0605
  Gradient Boosting  0.0605
      Random Forest  0.0575
      Decision Tree  0.0554
Logistic Regression  0.0550
      Random Forest  0.0517
      Decision Tree  0.0496
Logistic Regression  0.0493
  Gradient Boosting  0.0490
            XGBoost  0.0490
      Random Forest  0.0460
      Decision Tree  0.0439
  Gradient Boosting  0.0432
            XGBoost  0.0432
Logistic Regression  0.0420
Logistic Regression  0.0363
      Random Forest  0.0345
      Decision Tree  0.0324
            XGBoost  0.0317
  Gradient Boosting  0.0317
Logistic Regression  0.0290
      Decision Tree  0.0266
            XGBoost  0.0245
  Gradient Boosting  0.0245
      Random Forest  0.0230
Logistic Regression  0.0218
      Decision Tree  0.0209
  Gradient Boosting  0.0172
      Random Forest  0.0172
            XGBoost  0.0172
Logistic Regression  0.0145
  Gradient Boosting  0.0115
            XGBoost  0.0115
      Random Forest  0.0115
      Decision Tree  0.0115
Logistic Regression  0.0073

2. ВАЖНОСТЬ ПРИЗНАКОВ
--------------------------------------------------
Для дерева решений:
• goal: 0.0911
• gender: 0.0413
• age_group: 0.1528
• level: 0.0408
• type: 0.1168
• bmi: 0.5571

Для логистической регрессии:
• goal: 0.1163
• gender: 0.0729
